职位id,关系,薪资
535,所开薪资,2-4K
536,所开薪资,3-5K
537,所开薪资,4-6K
538,所开薪资,3-5K
539,所开薪资,4-6K
540,所开薪资,4-6K
541,所开薪资,3-8K
542,所开薪资,2-4K
543,所开薪资,4-7K
544,所开薪资,4-9K
545,所开薪资,3-8K
546,所开薪资,4-8K
547,所开薪资,4-6K
548,所开薪资,3-5K
549,所开薪资,4-7K
550,所开薪资,4-6K
551,所开薪资,4-6K
552,所开薪资,3-8K·13薪
553,所开薪资,3-5K
554,所开薪资,4-8K
555,所开薪资,4-7K
556,所开薪资,4-8K·13薪
557,所开薪资,3-6K
558,所开薪资,3-4K
559,所开薪资,3-8K
560,所开薪资,4-8K
561,所开薪资,4-6K
562,所开薪资,4-6K
563,所开薪资,4-6K
564,所开薪资,4-8K
565,所开薪资,3-7K
566,所开薪资,3-6K
567,所开薪资,3-4K
568,所开薪资,4-6K
569,所开薪资,4-8K
570,所开薪资,4-9K
571,所开薪资,3-4K
572,所开薪资,4-8K
573,所开薪资,4-7K
574,所开薪资,3-5K
575,所开薪资,4-8K
576,所开薪资,4-7K·13薪
577,所开薪资,4-8K
578,所开薪资,3-6K
579,所开薪资,4-8K
580,所开薪资,3-6K
581,所开薪资,4-8K
582,所开薪资,4-8K
583,所开薪资,3-5K
584,所开薪资,4-8K
585,所开薪资,4-6K
586,所开薪资,3-5K
587,所开薪资,4-9K
588,所开薪资,3-4K
589,所开薪资,3-8K
590,所开薪资,4-8K
591,所开薪资,4-9K
592,所开薪资,3-5K
593,所开薪资,3-5K
594,所开薪资,4-6K
595,所开薪资,3-5K
596,所开薪资,4-7K
597,所开薪资,4-8K
598,所开薪资,4-7K
599,所开薪资,4-6K
600,所开薪资,3-8K
601,所开薪资,4-8K
602,所开薪资,4-6K
603,所开薪资,4-8K
604,所开薪资,4-9K
605,所开薪资,4-9K
606,所开薪资,3-6K
607,所开薪资,4-8K·13薪
608,所开薪资,4-7K
609,所开薪资,4-6K
610,所开薪资,3-4K
611,所开薪资,4-7K
612,所开薪资,4-8K
613,所开薪资,4-8K
614,所开薪资,4-8K
615,所开薪资,3-5K
616,所开薪资,4-6K
617,所开薪资,4-6K
618,所开薪资,4-7K·13薪
619,所开薪资,4-8K
620,所开薪资,3-8K
621,所开薪资,4-8K
622,所开薪资,4-5K
623,所开薪资,4-9K·13薪
624,所开薪资,4-8K
625,所开薪资,4-9K
626,所开薪资,4-7K·13薪
627,所开薪资,4-5K
628,所开薪资,3-7K
629,所开薪资,4-9K
630,所开薪资,4-6K
631,所开薪资,4-6K
632,所开薪资,4-8K
633,所开薪资,3-4K
634,所开薪资,4-6K
635,所开薪资,4-7K
636,所开薪资,4-9K
637,所开薪资,4-6K
638,所开薪资,3-4K
639,所开薪资,4-6K
640,所开薪资,4-9K
641,所开薪资,3-4K
642,所开薪资,4-8K
643,所开薪资,4-6K
644,所开薪资,4-7K
645,所开薪资,3-7K
646,所开薪资,4-8K
647,所开薪资,4-6K
648,所开薪资,4-8K
649,所开薪资,4-5K
650,所开薪资,4-9K
651,所开薪资,4-9K
652,所开薪资,4-6K
653,所开薪资,4-8K·13薪
654,所开薪资,4-9K
655,所开薪资,4-6K
656,所开薪资,4-5K·13薪
657,所开薪资,4-8K
658,所开薪资,3-6K
659,所开薪资,4-7K
660,所开薪资,4-7K
661,所开薪资,4-9K
662,所开薪资,3-8K
663,所开薪资,3-8K
664,所开薪资,3-8K
665,所开薪资,4-9K
666,所开薪资,4-5K
667,所开薪资,4-6K
668,所开薪资,4-6K
669,所开薪资,3-6K
670,所开薪资,4-5K
671,所开薪资,4-7K
672,所开薪资,3-8K
673,所开薪资,3-7K
674,所开薪资,3-8K
675,所开薪资,4-8K
676,所开薪资,3-7K
677,所开薪资,4-7K
678,所开薪资,3-6K·13薪
679,所开薪资,4-6K
680,所开薪资,4-8K·13薪
681,所开薪资,3-4K
682,所开薪资,4-5K
683,所开薪资,4-7K
684,所开薪资,3-5K
685,所开薪资,3-8K
686,所开薪资,3-6K
687,所开薪资,3-5K
688,所开薪资,4-8K
689,所开薪资,4-6K
690,所开薪资,4-8K
691,所开薪资,4-5K
692,所开薪资,3-8K
693,所开薪资,4-6K
694,所开薪资,4-9K
695,所开薪资,4-7K
696,所开薪资,4-5K
697,所开薪资,4-9K
698,所开薪资,4-6K
699,所开薪资,4-7K
700,所开薪资,4-8K
701,所开薪资,4-9K·13薪
702,所开薪资,3-8K·15薪
703,所开薪资,4-9K
704,所开薪资,3-8K
705,所开薪资,3-7K
706,所开薪资,4-8K
707,所开薪资,3-5K
708,所开薪资,3-5K
709,所开薪资,4-9K
