id,Predicate,Object
17,技能要求,ajax
17,技能要求,css
17,技能要求,CSS3
17,技能要求,div
17,技能要求,dom
17,技能要求,html
17,技能要求,HTML5
17,技能要求,javascript
17,技能要求,jquery
17,技能要求,json
17,技能要求,ui
17,技能要求,web
17,技能要求,调试
17,技能要求,前端
17,技能要求,优化
17,技能要求,模块化
17,素养要求,沟通
17,素养要求,逻辑
17,素养要求,团队
17,素养要求,协作
17,素养要求,学习能力
17,公司名称,潮州市鲁迪信息科技有限公司
17,城市,潮州
17,职位名称,高级Web前端开发工程师
17,职位类别,前端
17,是否实习,全职
17,薪资,2-5K
17,学历要求,大专
18,技能要求,css
18,技能要求,html
18,技能要求,javascript
18,技能要求,js
18,技能要求,react
18,技能要求,vue
18,技能要求,调试
18,技能要求,前端
18,技能要求,优化
18,知识要求,计算机
18,知识要求,软件工程
18,知识要求,通信
18,素养要求,分析
18,素养要求,沟通
18,素养要求,合作
18,素养要求,配合
18,素养要求,团队
18,公司名称,贵州动点世纪科技有限公司
18,城市,贵阳
18,职位名称,前端开发助理
18,职位类别,前端
18,是否实习,全职
18,薪资,2-4K
18,学历要求,大专
19,技能要求,app
19,技能要求,vue
19,技能要求,web
19,技能要求,前端
19,公司名称,福州一瓦教育科技有限公司
19,城市,泉州
19,职位名称,前端实习生
19,职位类别,前端
19,是否实习,实习
19,薪资,1-4K
19,学历要求,大专
20,技能要求,css
20,技能要求,html
20,技能要求,java
20,技能要求,项目经验
20,知识要求,ip
20,素养要求,吃苦
20,素养要求,沟通
20,素养要求,积极
20,素养要求,逻辑
20,素养要求,热情
20,素养要求,学习能力
20,公司名称,深圳市小河狸科技有限公司
20,城市,深圳
20,职位名称,前端工程师
20,职位类别,前端
20,是否实习,全职
20,薪资,2-7K
20,学历要求,大专
21,技能要求,vue
21,技能要求,小程序
21,公司名称,广西云创引力信息科技有限公司
21,城市,玉林
21,职位名称,前端开发工程师
21,职位类别,前端
21,是否实习,全职
21,薪资,1-2K
21,学历要求,大专
22,技能要求,ajax
22,技能要求,angularjs
22,技能要求,bootstrap
22,技能要求,css
22,技能要求,HTML5
22,技能要求,javascript
22,技能要求,jquery
22,技能要求,web
22,技能要求,xml
22,技能要求,前端
22,技能要求,优化
22,技能要求,模块化
22,技能要求,项目经验
22,素养要求,吃苦
22,素养要求,独立
22,素养要求,沟通
22,素养要求,合作
22,素养要求,团队
22,公司名称,南昌市云科信息技术有限公司
22,城市,南昌
22,职位名称,前端实习生
22,职位类别,前端
22,是否实习,实习
22,薪资,1-4K
22,学历要求,大专
23,技能要求,css
23,技能要求,html
23,技能要求,js
23,技能要求,vue
23,技能要求,前端
23,公司名称,南京速码信息科技有限公司
23,城市,南京
23,职位名称,前端开发实习生
23,职位类别,前端
23,是否实习,实习
23,薪资,2-3K
23,学历要求,大专
24,技能要求,javascript
24,技能要求,js
24,技能要求,vue
24,技能要求,web
24,技能要求,办公软件
24,素养要求,沟通
24,素养要求,逻辑
24,公司名称,遵义云讯网络科技有限责任公司
24,城市,遵义
24,职位名称,前端实习生
24,职位类别,前端
24,是否实习,实习
24,薪资,2-3K
24,学历要求,大专
25,技能要求,css
25,技能要求,div
25,技能要求,html
25,技能要求,javascript
25,技能要求,js
25,技能要求,json
25,技能要求,ui
25,技能要求,vue
25,技能要求,后端
25,技能要求,前端
25,技能要求,优化
25,素养要求,配合
25,素养要求,效率
25,公司名称,微趣软件（无锡）有限公司
25,城市,无锡
25,职位名称,前端开发工程师（实习岗）
25,职位类别,前端
25,是否实习,实习
25,薪资,2-4K
25,学历要求,大专
26,技能要求,调试
26,知识要求,自动化
26,公司名称,西安开拓电气有限公司
26,城市,西安
26,职位名称,电气助理工程师
26,职位类别,电气
26,是否实习,全职
26,薪资,2-5K
26,学历要求,大专
27,技能要求,angular
27,技能要求,css
27,技能要求,dom
27,技能要求,html
27,技能要求,javascript
27,技能要求,jquery
27,技能要求,js
27,技能要求,react
27,技能要求,ui
27,技能要求,vue
27,技能要求,web
27,技能要求,前端
27,素养要求,分析
27,公司名称,福州万悉地网络科技有限公司
27,城市,福州
27,职位名称,前端实习生
27,职位类别,前端
27,是否实习,实习
27,薪资,2-4K
27,学历要求,大专
28,技能要求,CSS3
28,技能要求,HTML5
