职位id,关系,城市
152,所在城市,太原
153,所在城市,福州
154,所在城市,长春
155,所在城市,深圳
156,所在城市,上海
157,所在城市,大连
158,所在城市,衡阳
159,所在城市,石家庄
160,所在城市,北京
161,所在城市,广州
162,所在城市,江门
163,所在城市,保定
164,所在城市,福州
165,所在城市,西安
166,所在城市,济宁
167,所在城市,重庆
168,所在城市,深圳
169,所在城市,杭州
170,所在城市,邯郸
171,所在城市,成都
172,所在城市,太原
173,所在城市,贵阳
174,所在城市,深圳
175,所在城市,深圳
176,所在城市,哈尔滨
177,所在城市,丹东
178,所在城市,泉州
179,所在城市,绵阳
180,所在城市,柳州
181,所在城市,揭阳
182,所在城市,赣州
183,所在城市,杭州
184,所在城市,成都
185,所在城市,深圳
186,所在城市,赤峰
187,所在城市,长沙
188,所在城市,哈尔滨
189,所在城市,东营
190,所在城市,成都
191,所在城市,沈阳
192,所在城市,杭州
193,所在城市,大连
194,所在城市,石家庄
195,所在城市,衡水
196,所在城市,唐山
197,所在城市,昆明
198,所在城市,汕头
199,所在城市,福州
200,所在城市,南京
201,所在城市,郑州
202,所在城市,广州
203,所在城市,沈阳
204,所在城市,大连
205,所在城市,南充
206,所在城市,东莞
207,所在城市,哈尔滨
208,所在城市,石家庄
209,所在城市,呼和浩特
210,所在城市,曲靖
211,所在城市,镇江
212,所在城市,邯郸
213,所在城市,上海
214,所在城市,南京
215,所在城市,晋城
216,所在城市,大同
217,所在城市,大连
218,所在城市,广元
219,所在城市,乌鲁木齐
220,所在城市,长沙
221,所在城市,包头
222,所在城市,邢台
223,所在城市,成都
224,所在城市,邯郸
225,所在城市,包头
226,所在城市,福州
227,所在城市,朝阳
228,所在城市,上海
229,所在城市,盐城
230,所在城市,成都
231,所在城市,运城
232,所在城市,焦作
233,所在城市,无锡
234,所在城市,衡水
235,所在城市,肇庆
236,所在城市,襄阳
237,所在城市,鞍山
238,所在城市,曲靖
239,所在城市,北京
240,所在城市,福州
241,所在城市,南宁
242,所在城市,哈尔滨
243,所在城市,石家庄
244,所在城市,上海
245,所在城市,石家庄
246,所在城市,成都
247,所在城市,咸阳
248,所在城市,茂名
249,所在城市,南阳
250,所在城市,呼和浩特
251,所在城市,深圳
252,所在城市,南昌
253,所在城市,长沙
254,所在城市,南京
255,所在城市,沈阳
256,所在城市,乌鲁木齐
257,所在城市,鞍山
258,所在城市,沈阳
259,所在城市,广州
260,所在城市,柳州
261,所在城市,南宁
262,所在城市,大连
263,所在城市,琼海
264,所在城市,衡水
265,所在城市,石家庄
266,所在城市,宁波
267,所在城市,泉州
268,所在城市,长春
269,所在城市,淮北
270,所在城市,咸阳
271,所在城市,铜仁
272,所在城市,商洛
273,所在城市,南宁
274,所在城市,福州
275,所在城市,广州
276,所在城市,上海
277,所在城市,广州
278,所在城市,抚顺
279,所在城市,安庆
280,所在城市,葫芦
281,所在城市,武汉
282,所在城市,郑州
283,所在城市,南宁
284,所在城市,南阳
285,所在城市,宿州
286,所在城市,广州
287,所在城市,西安
288,所在城市,襄阳
289,所在城市,北京
290,所在城市,遵义
291,所在城市,嘉兴
292,所在城市,鞍山
293,所在城市,宜昌
294,所在城市,朝阳
295,所在城市,德州
296,所在城市,南京
297,所在城市,长春
298,所在城市,成都
299,所在城市,肇庆
300,所在城市,龙岩
301,所在城市,南宁
302,所在城市,广元
303,所在城市,深圳
304,所在城市,武汉
305,所在城市,运城
306,所在城市,揭阳
307,所在城市,重庆
308,所在城市,梅州
309,所在城市,南昌
310,所在城市,潮州
311,所在城市,衢州
312,所在城市,北京
313,所在城市,重庆
314,所在城市,金华
315,所在城市,成都
316,所在城市,潮州
317,所在城市,嘉兴
318,所在城市,杭州
319,所在城市,泸州
320,所在城市,宜昌
321,所在城市,东营
322,所在城市,南京
323,所在城市,柳州
324,所在城市,滨州
325,所在城市,福州
326,所在城市,大理
327,所在城市,重庆
328,所在城市,秦皇
329,所在城市,杭州
330,所在城市,长春
331,所在城市,长春
332,所在城市,南昌
333,所在城市,南平
334,所在城市,娄底
335,所在城市,舟山
336,所在城市,焦作
337,所在城市,无锡
338,所在城市,南阳
339,所在城市,南昌
340,所在城市,广州
341,所在城市,中山
342,所在城市,开封
343,所在城市,佛山
344,所在城市,大连
345,所在城市,澄迈
346,所在城市,太原
347,所在城市,哈尔滨
348,所在城市,衡水
349,所在城市,大连
350,所在城市,深圳
351,所在城市,南昌
352,所在城市,宁波
353,所在城市,青岛
354,所在城市,通化
355,所在城市,南昌
356,所在城市,沈阳
357,所在城市,珠海
358,所在城市,杭州
359,所在城市,深圳
360,所在城市,西安
361,所在城市,上海
362,所在城市,绍兴
363,所在城市,石家庄
364,所在城市,哈尔滨
365,所在城市,泉州
366,所在城市,上海
367,所在城市,呼和浩特
368,所在城市,南充
369,所在城市,成都
370,所在城市,绵阳
371,所在城市,东莞
372,所在城市,南京
373,所在城市,邢台
374,所在城市,江门
375,所在城市,大连
376,所在城市,宁波
377,所在城市,焦作
378,所在城市,厦门
379,所在城市,昆明
380,所在城市,长沙
381,所在城市,长沙
382,所在城市,长春
383,所在城市,运城
384,所在城市,鞍山
385,所在城市,石家庄
386,所在城市,嘉兴
387,所在城市,成都
388,所在城市,南昌
389,所在城市,广州
390,所在城市,邢台
391,所在城市,盐城
392,所在城市,曲靖
393,所在城市,马鞍
394,所在城市,郑州
395,所在城市,成都
396,所在城市,中山
397,所在城市,沈阳
398,所在城市,重庆
399,所在城市,成都
400,所在城市,丹东
401,所在城市,北京
402,所在城市,深圳
403,所在城市,福州
404,所在城市,深圳
405,所在城市,大同
406,所在城市,南阳
407,所在城市,昆明
408,所在城市,海口
409,所在城市,大连
410,所在城市,保定
411,所在城市,东营
412,所在城市,漳州
413,所在城市,大连
414,所在城市,石家庄
415,所在城市,贵阳
416,所在城市,福州
417,所在城市,深圳
418,所在城市,邯郸
419,所在城市,包头
420,所在城市,重庆
421,所在城市,南京
422,所在城市,衡水
423,所在城市,哈尔滨
424,所在城市,上海
425,所在城市,广元
426,所在城市,南昌
427,所在城市,柳州
428,所在城市,武汉
429,所在城市,哈尔滨
430,所在城市,福州
431,所在城市,西安
432,所在城市,大连
433,所在城市,阜阳
434,所在城市,唐山
435,所在城市,赤峰
436,所在城市,石家庄
437,所在城市,成都
438,所在城市,杭州
439,所在城市,成都
440,所在城市,茂名
441,所在城市,汕头
442,所在城市,大连
443,所在城市,嘉兴
444,所在城市,赣州
445,所在城市,深圳
446,所在城市,南宁
447,所在城市,石家庄
448,所在城市,咸阳
449,所在城市,大连
450,所在城市,四平
451,所在城市,杭州
452,所在城市,未知
453,所在城市,成都
454,所在城市,东营
455,所在城市,南昌
456,所在城市,广州
457,所在城市,广州
458,所在城市,武汉
459,所在城市,包头
460,所在城市,呼和浩特
461,所在城市,三门
462,所在城市,镇江
463,所在城市,北京
464,所在城市,南昌
465,所在城市,深圳
466,所在城市,无锡
467,所在城市,上海
468,所在城市,盐城
469,所在城市,太原
470,所在城市,石家庄
471,所在城市,淮北
472,所在城市,大同
473,所在城市,汉中
474,所在城市,曲靖
475,所在城市,泉州
476,所在城市,南昌
477,所在城市,资阳
478,所在城市,商丘
479,所在城市,临汾
480,所在城市,南宁
481,所在城市,淮北
482,所在城市,东莞
483,所在城市,南宁
484,所在城市,重庆
485,所在城市,乐山
486,所在城市,哈尔滨
487,所在城市,长春
488,所在城市,银川
489,所在城市,成都
490,所在城市,广州
491,所在城市,海口
492,所在城市,铁岭
493,所在城市,石家庄
494,所在城市,珠海
495,所在城市,苏州
496,所在城市,太原
497,所在城市,长春
498,所在城市,晋城
499,所在城市,朝阳
500,所在城市,宁德
501,所在城市,成都
502,所在城市,银川
503,所在城市,重庆
504,所在城市,沈阳
505,所在城市,西安
506,所在城市,广州
507,所在城市,广州
508,所在城市,南宁
509,所在城市,洛阳
510,所在城市,九江
511,所在城市,衡水
512,所在城市,驻马
513,所在城市,石家庄
514,所在城市,鞍山
515,所在城市,莆田
516,所在城市,温州
517,所在城市,西安
518,所在城市,吉安
519,所在城市,常德
520,所在城市,郑州
521,所在城市,杭州
522,所在城市,乌鲁木齐
523,所在城市,晋城
524,所在城市,武汉
525,所在城市,洛阳
526,所在城市,大连
527,所在城市,温州
528,所在城市,青岛
529,所在城市,柳州
530,所在城市,西安
531,所在城市,龙岩
532,所在城市,永州
533,所在城市,重庆
534,所在城市,漳州
535,所在城市,福州
536,所在城市,郴州
537,所在城市,南宁
538,所在城市,晋城
539,所在城市,洛阳
540,所在城市,宁波
541,所在城市,运城
542,所在城市,三门
543,所在城市,长沙
544,所在城市,湛江
545,所在城市,锡林
546,所在城市,十堰
547,所在城市,宁波
548,所在城市,广元
549,所在城市,东营
550,所在城市,南宁
551,所在城市,石家庄
552,所在城市,泸州
553,所在城市,淮北
554,所在城市,成都
555,所在城市,河源
556,所在城市,十堰
557,所在城市,汕头
558,所在城市,长沙
559,所在城市,运城
560,所在城市,无锡
561,所在城市,淄博
562,所在城市,哈尔滨
563,所在城市,沧州
564,所在城市,长春
565,所在城市,邯郸
566,所在城市,锦州
567,所在城市,赤峰
568,所在城市,泰安
569,所在城市,汕头
570,所在城市,忻州
571,所在城市,大同
572,所在城市,梅州
573,所在城市,贵阳
574,所在城市,濮阳
575,所在城市,江门
576,所在城市,洛阳
577,所在城市,保定
578,所在城市,大庆
579,所在城市,太原
580,所在城市,宁波
581,所在城市,邢台
582,所在城市,赣州
583,所在城市,新乡
584,所在城市,日照
585,所在城市,吉林
586,所在城市,岳阳
587,所在城市,上饶
588,所在城市,邯郸
589,所在城市,唐山
590,所在城市,南阳
591,所在城市,恩施
592,所在城市,荆门
593,所在城市,茂名
594,所在城市,泉州
595,所在城市,延边
596,所在城市,深圳
597,所在城市,徐州
598,所在城市,沧州
599,所在城市,哈尔滨
600,所在城市,运城
601,所在城市,日照
602,所在城市,福州
603,所在城市,赣州
604,所在城市,天津
605,所在城市,银川
606,所在城市,潍坊
607,所在城市,梅州
608,所在城市,安庆
609,所在城市,桂林
610,所在城市,洛阳
611,所在城市,福州
612,所在城市,石家庄
613,所在城市,龙岩
614,所在城市,张家
615,所在城市,平顶
616,所在城市,商丘
617,所在城市,潮州
618,所在城市,西安
619,所在城市,东营
620,所在城市,张家
621,所在城市,赣州
622,所在城市,江门
623,所在城市,江门
624,所在城市,徐州
625,所在城市,石家庄
626,所在城市,常州
627,所在城市,恩施
628,所在城市,七台
629,所在城市,运城
630,所在城市,宿迁
631,所在城市,马鞍
632,所在城市,太原
633,所在城市,汕头
634,所在城市,合肥
635,所在城市,保定
636,所在城市,珠海
637,所在城市,哈尔滨
638,所在城市,珠海
639,所在城市,扬州
640,所在城市,湛江
641,所在城市,哈尔滨
642,所在城市,江门
643,所在城市,郑州
644,所在城市,深圳
645,所在城市,商丘
646,所在城市,杭州
647,所在城市,太原
648,所在城市,衡阳
649,所在城市,秦皇
650,所在城市,南宁
651,所在城市,焦作
652,所在城市,泰安
653,所在城市,绍兴
654,所在城市,蚌埠
655,所在城市,珠海
656,所在城市,唐山
657,所在城市,广州
658,所在城市,中山
659,所在城市,临沂
660,所在城市,嘉兴
661,所在城市,徐州
662,所在城市,保定
663,所在城市,呼和浩特
664,所在城市,武汉
665,所在城市,江门
666,所在城市,石家庄
667,所在城市,晋城
668,所在城市,日照
669,所在城市,承德
670,所在城市,衡阳
671,所在城市,昆明
672,所在城市,唐山
673,所在城市,平顶
674,所在城市,潍坊
675,所在城市,南昌
676,所在城市,日照
677,所在城市,扬州
678,所在城市,佛山
679,所在城市,深圳
680,所在城市,宜昌
681,所在城市,扬州
682,所在城市,贵阳
683,所在城市,银川
684,所在城市,未知
685,所在城市,惠州
686,所在城市,太原
687,所在城市,广州
688,所在城市,通辽
689,所在城市,廊坊
690,所在城市,洛阳
691,所在城市,江门
692,所在城市,台州
693,所在城市,潍坊
694,所在城市,宜春
695,所在城市,银川
696,所在城市,衡阳
697,所在城市,长沙
698,所在城市,广州
699,所在城市,扬州
700,所在城市,邯郸
701,所在城市,秦皇
702,所在城市,石家庄
703,所在城市,长治
704,所在城市,唐山
705,所在城市,南阳
706,所在城市,大庆
707,所在城市,株洲
708,所在城市,成都
709,所在城市,衡阳
710,所在城市,潍坊
711,所在城市,烟台
712,所在城市,惠州
713,所在城市,南阳
714,所在城市,杭州
715,所在城市,衡水
716,所在城市,洛阳
717,所在城市,徐州
718,所在城市,沈阳
719,所在城市,包头
720,所在城市,韶关
721,所在城市,吉林
722,所在城市,衡阳
723,所在城市,乌鲁木齐
724,所在城市,洛阳
725,所在城市,宁德
726,所在城市,徐州
727,所在城市,未知
728,所在城市,乌鲁木齐
729,所在城市,日照
730,所在城市,汕头
731,所在城市,徐州
732,所在城市,泰安
733,所在城市,武汉
734,所在城市,贵阳
735,所在城市,南京
736,所在城市,徐州
737,所在城市,南昌
738,所在城市,晋中
739,所在城市,南昌
740,所在城市,贵阳
741,所在城市,株洲
742,所在城市,鞍山
743,所在城市,成都
744,所在城市,贵阳
745,所在城市,徐州
746,所在城市,大同
747,所在城市,南昌
748,所在城市,洛阳
749,所在城市,郑州
750,所在城市,株洲
751,所在城市,临沂
752,所在城市,兰州
753,所在城市,南宁
754,所在城市,大连
755,所在城市,芜湖
756,所在城市,株洲
757,所在城市,西安
758,所在城市,安阳
759,所在城市,南阳
760,所在城市,晋中
761,所在城市,北海
762,所在城市,临沂
763,所在城市,昆明
764,所在城市,成都
765,所在城市,日照
766,所在城市,无锡
767,所在城市,南昌
768,所在城市,邯郸
769,所在城市,长春
770,所在城市,广州
771,所在城市,温州
772,所在城市,武汉
773,所在城市,沈阳
774,所在城市,商丘
775,所在城市,无锡
776,所在城市,成都
777,所在城市,广州
778,所在城市,海口
779,所在城市,长沙
780,所在城市,杭州
781,所在城市,汕头
782,所在城市,衡水
783,所在城市,徐州
784,所在城市,银川
785,所在城市,太原
786,所在城市,太原
787,所在城市,未知
788,所在城市,珠海
789,所在城市,哈尔滨
790,所在城市,梅州
791,所在城市,十堰
792,所在城市,徐州
793,所在城市,福州
794,所在城市,泰安
795,所在城市,武汉
796,所在城市,徐州
797,所在城市,重庆
798,所在城市,江门
799,所在城市,宿迁
800,所在城市,舟山
801,所在城市,徐州
802,所在城市,杭州
803,所在城市,滨州
804,所在城市,苏州
805,所在城市,惠州
806,所在城市,唐山
807,所在城市,南昌
808,所在城市,常州
809,所在城市,贵阳
810,所在城市,常州
811,所在城市,衡阳
812,所在城市,南昌
813,所在城市,临沂
814,所在城市,海口
815,所在城市,徐州
816,所在城市,泰安
817,所在城市,潍坊
818,所在城市,唐山
819,所在城市,石家庄
820,所在城市,徐州
821,所在城市,深圳
822,所在城市,无锡
823,所在城市,北京
824,所在城市,娄底
825,所在城市,西安
826,所在城市,襄阳
827,所在城市,温州
828,所在城市,昆明
829,所在城市,嘉兴
830,所在城市,徐州
831,所在城市,通辽
832,所在城市,天津
833,所在城市,徐州
834,所在城市,南宁
835,所在城市,徐州
836,所在城市,珠海
837,所在城市,武汉
838,所在城市,徐州
839,所在城市,玉溪
840,所在城市,长沙
841,所在城市,滨州
842,所在城市,十堰
843,所在城市,株洲
844,所在城市,温州
845,所在城市,重庆
846,所在城市,贵阳
847,所在城市,无锡
848,所在城市,徐州
849,所在城市,西安
850,所在城市,大连
851,所在城市,烟台
852,所在城市,杭州
853,所在城市,广州
854,所在城市,重庆
855,所在城市,惠州
856,所在城市,马鞍
857,所在城市,蚌埠
858,所在城市,佛山
859,所在城市,大同
860,所在城市,深圳
861,所在城市,无锡
862,所在城市,淄博
863,所在城市,南通
864,所在城市,烟台
865,所在城市,西安
866,所在城市,温州
867,所在城市,厦门
868,所在城市,南京
869,所在城市,长沙
870,所在城市,石家庄
871,所在城市,徐州
872,所在城市,绍兴
873,所在城市,徐州
874,所在城市,南宁
875,所在城市,邯郸
876,所在城市,沈阳
877,所在城市,南昌
878,所在城市,昆明
879,所在城市,南宁
880,所在城市,泰安
881,所在城市,昆明
882,所在城市,宁波
883,所在城市,昆明
884,所在城市,徐州
885,所在城市,衢州
886,所在城市,宁波
887,所在城市,台州
888,所在城市,西安
889,所在城市,徐州
890,所在城市,温州
891,所在城市,石家庄
892,所在城市,德阳
893,所在城市,徐州
894,所在城市,南宁
895,所在城市,成都
896,所在城市,青岛
897,所在城市,柳州
898,所在城市,南阳
899,所在城市,佛山
900,所在城市,合肥
901,所在城市,徐州
902,所在城市,赣州
903,所在城市,惠州
904,所在城市,宁波
905,所在城市,重庆
906,所在城市,镇江
907,所在城市,重庆
908,所在城市,洛阳
909,所在城市,杭州
910,所在城市,徐州
911,所在城市,连云
912,所在城市,长沙
913,所在城市,南通
914,所在城市,无锡
915,所在城市,徐州
916,所在城市,上海
917,所在城市,福州
918,所在城市,桂林
919,所在城市,温州
920,所在城市,滨州
921,所在城市,广州
922,所在城市,廊坊
923,所在城市,南通
924,所在城市,徐州
925,所在城市,莆田
926,所在城市,日照
927,所在城市,威海
928,所在城市,徐州
929,所在城市,泉州
930,所在城市,成都
931,所在城市,南通
932,所在城市,鞍山
933,所在城市,阿克
934,所在城市,重庆
935,所在城市,深圳
936,所在城市,沈阳
937,所在城市,徐州
938,所在城市,杭州
939,所在城市,北海
940,所在城市,潍坊
941,所在城市,成都
942,所在城市,呼和浩特
943,所在城市,保定
944,所在城市,徐州
945,所在城市,石家庄
946,所在城市,海口
947,所在城市,徐州
948,所在城市,武汉
949,所在城市,南京
950,所在城市,武汉
951,所在城市,徐州
952,所在城市,太原
953,所在城市,苏州
954,所在城市,广州
955,所在城市,北京
956,所在城市,镇江
957,所在城市,武汉
958,所在城市,赤峰
959,所在城市,梅州
960,所在城市,郑州
961,所在城市,徐州
962,所在城市,大庆
963,所在城市,深圳
964,所在城市,徐州
965,所在城市,广州
966,所在城市,徐州
967,所在城市,广州
968,所在城市,漳州
969,所在城市,石家庄
970,所在城市,上海
971,所在城市,中山
972,所在城市,徐州
973,所在城市,宜昌
974,所在城市,温州
975,所在城市,徐州
976,所在城市,东莞
977,所在城市,徐州
978,所在城市,徐州
979,所在城市,徐州
980,所在城市,泉州
981,所在城市,成都
982,所在城市,郑州
983,所在城市,桂林
984,所在城市,徐州
985,所在城市,无锡
986,所在城市,徐州
987,所在城市,大连
988,所在城市,武汉
989,所在城市,台州
990,所在城市,邯郸
991,所在城市,遵义
992,所在城市,无锡
993,所在城市,阜阳
994,所在城市,上海
995,所在城市,邢台
996,所在城市,江苏
997,所在城市,武汉
998,所在城市,大连
999,所在城市,徐州
1000,所在城市,重庆
1001,所在城市,大同
1002,所在城市,大连
1003,所在城市,常州
1004,所在城市,池州
1005,所在城市,沈阳
1006,所在城市,武汉
1007,所在城市,徐州
1008,所在城市,济宁
1009,所在城市,潍坊
1010,所在城市,徐州
1011,所在城市,长沙
1012,所在城市,无锡
1013,所在城市,南京
1014,所在城市,邢台
1015,所在城市,徐州
1016,所在城市,珠海
1017,所在城市,西安
1018,所在城市,重庆
1019,所在城市,日照
1020,所在城市,江门
1021,所在城市,泉州
1022,所在城市,新乡
1023,所在城市,济南
1024,所在城市,上海
1025,所在城市,徐州
1026,所在城市,广州
1027,所在城市,徐州
1028,所在城市,佛山
1029,所在城市,徐州
1030,所在城市,盐城
1031,所在城市,徐州
1032,所在城市,徐州
1033,所在城市,杭州
1034,所在城市,徐州
1035,所在城市,乌鲁木齐
1036,所在城市,徐州
1037,所在城市,佛山
1038,所在城市,徐州
1039,所在城市,徐州
1040,所在城市,烟台
1041,所在城市,徐州
1042,所在城市,佛山
1043,所在城市,西安
1044,所在城市,阜阳
1045,所在城市,无锡
1046,所在城市,柳州
1047,所在城市,佛山
1048,所在城市,未知
1049,所在城市,哈尔滨
1050,所在城市,武汉
1051,所在城市,保定
1052,所在城市,贵阳
1053,所在城市,连云
1054,所在城市,上海
1055,所在城市,南京
1056,所在城市,廊坊
1057,所在城市,郑州
1058,所在城市,佛山
1059,所在城市,廊坊
1060,所在城市,北京
1061,所在城市,日照
1062,所在城市,滨州
1063,所在城市,杭州
1064,所在城市,北京
1065,所在城市,徐州
1066,所在城市,上海
1067,所在城市,徐州
1068,所在城市,成都
1069,所在城市,南京
1070,所在城市,佛山
1071,所在城市,西安
1072,所在城市,济南
1073,所在城市,盐城
1074,所在城市,深圳
1075,所在城市,深圳
1076,所在城市,龙岩
1077,所在城市,珠海
1078,所在城市,乌鲁木齐
1079,所在城市,西安
1080,所在城市,上海
1081,所在城市,武汉
1082,所在城市,武汉
1083,所在城市,深圳
1084,所在城市,徐州
1085,所在城市,无锡
1086,所在城市,湖州
1087,所在城市,无锡
1088,所在城市,福州
1089,所在城市,西宁
1090,所在城市,泉州
1091,所在城市,长沙
1092,所在城市,北京
1093,所在城市,杭州
1094,所在城市,绍兴
1095,所在城市,上海
1096,所在城市,南京
1097,所在城市,上海
1098,所在城市,鞍山
1099,所在城市,无锡
1100,所在城市,金华
1101,所在城市,无锡
1102,所在城市,佛山
1103,所在城市,东莞
1104,所在城市,杭州
1105,所在城市,南京
1106,所在城市,天津
1107,所在城市,上海
1108,所在城市,金华
1109,所在城市,海口
1110,所在城市,北京
1111,所在城市,郑州
1112,所在城市,长春
1113,所在城市,青岛
1114,所在城市,常州
1115,所在城市,常州
1116,所在城市,徐州
1117,所在城市,泉州
1118,所在城市,苏州
1119,所在城市,深圳
1120,所在城市,武汉
1121,所在城市,北京
1122,所在城市,上海
1123,所在城市,杭州
1124,所在城市,广州
1125,所在城市,武汉
1126,所在城市,上海
1127,所在城市,徐州
1128,所在城市,成都
1129,所在城市,雅安
1130,所在城市,郑州
1131,所在城市,徐州
1132,所在城市,深圳
1133,所在城市,重庆
1134,所在城市,长春
1135,所在城市,西安
1136,所在城市,成都
1137,所在城市,杭州
1138,所在城市,海口
1139,所在城市,昆明
1140,所在城市,大庆
1141,所在城市,宜昌
1142,所在城市,上海
1143,所在城市,珠海
1144,所在城市,杭州
1145,所在城市,乌鲁木齐
1146,所在城市,盐城
1147,所在城市,深圳
1148,所在城市,广州
1149,所在城市,杭州
1150,所在城市,武汉
1151,所在城市,广州
1152,所在城市,南京
1153,所在城市,淄博
1154,所在城市,重庆
1155,所在城市,大连
1156,所在城市,泉州
1157,所在城市,广州
1158,所在城市,武汉
1159,所在城市,宁德
1160,所在城市,南京
1161,所在城市,北京
1162,所在城市,杭州
1163,所在城市,北京
1164,所在城市,徐州
1165,所在城市,珠海
1166,所在城市,芜湖
1167,所在城市,北京
1168,所在城市,广州
1169,所在城市,苏州
1170,所在城市,兰州
1171,所在城市,珠海
1172,所在城市,长沙
1173,所在城市,沈阳
1174,所在城市,北京
1175,所在城市,北京
1176,所在城市,上海
1177,所在城市,广州
1178,所在城市,合肥
1179,所在城市,武汉
1180,所在城市,常州
1181,所在城市,长春
1182,所在城市,大连
1183,所在城市,珠海
1184,所在城市,青岛
1185,所在城市,南阳
1186,所在城市,成都
1187,所在城市,南京
1188,所在城市,上海
1189,所在城市,成都
1190,所在城市,青岛
1191,所在城市,成都
1192,所在城市,南京
1193,所在城市,海口
1194,所在城市,深圳
1195,所在城市,广州
1196,所在城市,金华
1197,所在城市,广州
1198,所在城市,广州
1199,所在城市,深圳
1200,所在城市,福州
1201,所在城市,北京
1202,所在城市,沈阳
1203,所在城市,珠海
1204,所在城市,南京
1205,所在城市,济南
1206,所在城市,上海
1207,所在城市,杭州
1208,所在城市,上海
1209,所在城市,北京
1210,所在城市,宜宾
1211,所在城市,广州
1212,所在城市,重庆
1213,所在城市,上海
1214,所在城市,上海
1215,所在城市,西安
1216,所在城市,莆田
1217,所在城市,福州
1218,所在城市,上海
1219,所在城市,重庆
1220,所在城市,成都
1221,所在城市,佛山
1222,所在城市,广州
1223,所在城市,南京
1224,所在城市,苏州
1225,所在城市,南京
1226,所在城市,盐城
1227,所在城市,南京
1228,所在城市,保定
1229,所在城市,海口
1230,所在城市,徐州
1231,所在城市,天津
1232,所在城市,上海
1233,所在城市,南京
1234,所在城市,南通
1235,所在城市,苏州
1236,所在城市,石家庄
1237,所在城市,郑州
1238,所在城市,邯郸
1239,所在城市,武汉
1240,所在城市,南宁
1241,所在城市,武汉
1242,所在城市,广州
1243,所在城市,上海
1244,所在城市,东莞
1245,所在城市,石家庄
1246,所在城市,上海
1247,所在城市,潍坊
1248,所在城市,上海
1249,所在城市,成都
1250,所在城市,北京
1251,所在城市,长沙
1252,所在城市,武汉
1253,所在城市,西安
1254,所在城市,广州
1255,所在城市,上海
1256,所在城市,杭州
1257,所在城市,惠州
