公司名称,职位名称,薪资,学历要求,职位描述,
内蒙古五朵梅文化影视艺术传播有限公司,区域运营商,60-90K,大专,抖音本地生活区域项目管理和运营,乌海海勃湾区内蒙古众合星辰文化传媒有限公司19楼
深圳摩创科技有限公司,副总裁,40-60K·13薪,大专,工作职责：1、负责公司日常经营运管工作，拟定公司运管经营目标，确保实现各项经营指标；2、熟悉并制定各项公司规章制度、业务操作流程等标准文件，并引导贯彻执行；3、内外沟通协调，确保公司经营管理顺畅有序和完成重要外事接待；4、负责管理公司人员的业务活动，组织实施公司人员的招募、培训、督导与考核等工作；任职资格：1、公司合伙人，有创业精神，10年以上行业解决方案从业管理工作经验；2、有相关行业从业、培训、学习的丰富经验和管理经验；3、有行业渠道资源，能迅速的扩展业务渠道；4、具有良好的客户沟通维系能力及丰富的团队建设经验，执行力、亲和力强。,深圳宝安区前海科创中心E座5楼
广州草本世家生物科技有限公司,营销总裁,50-80K,大专,1、大专以上学历，有相关营销类专业者优先；2、有大客户开发和公关能力，有3年以上营销工作经验，并有2年以上营销团队管理经验；3、有美业，餐饮，文旅，教培，商协会的等相关大客户资源。具有丰富的市场策划、营销推广工作经验；4、具有较强的产品、用户心理分析的能力与看法，对市场发展方向和动态有较强的分析能力，能够根据需求与市场变化迅速做出回应。5.待遇丰厚，能力杰出者可放宽要求，欢迎自荐！！公司介绍广州草本世家生物科技有限公司是抖加微流量科技（广东）有限公司的美业项目服务公司，是抖音授权全国八大本地同城服务商之一，帮助全行业企业巨量引流打造爆款，帮助企业营业额加速翻倍，客户稳定留存，让企业更具有活力，展现未来，我们拥有一支专业的执行团队，以抖音为平台，搭建企业自己的经营阵地，构建强大的流量矩阵，成为企业抗风险和逆势增长的机会。流量矩阵、助力企业高效获客、私域流量矩阵的优势，抖音号和意向用户直接建联，聚集品牌粉丝，可通过作品多次向用户触达品牌信息。垂直流量，粉丝即客户，长效经营挖掘更深的转化，高价值的潜在市场，看得见的生意新增量。无论你在哪个城市我们都能帮助你完成流量变现，提高企业利润,广州白云区际华大厦2层/201
"
巨航律所
",总裁/总经理/CEO,100-110K,大专,全面组织实施有关决议和规定，完成董事长下达的各项指标，并将实施情况向董事会汇报加分项有以下行业经验：法律·财务/审计/税务·专利/商标/知识产权,深圳龙岗区荣超金融大厦(阁溪三路)九楼913
良策顺为（广东）产业投资有限公司,产业投资人,60-80K,大专,1.有丰富优质的资源和投资项目渠道2.能够独立开发拓展投资项目3.具备团队经营管理和业务领导能力4.按周/月对接项目开展情况任职资格1.具备8年以上投资项目经验2.熟悉投资流程及专业知识3.具备培训团队，带团队的工作经验4.专业不限，营销，金融专业优先5.有美业，大健康，快消品等领域的投资，招商经验为佳6.定期会议+灵活工作时间，业绩分成，结果导向,广州番禺区番山智库总部园区5号楼903
贵阳云裳音悦餐饮管理有限责任公司,联合创始人,100-110K,大专,1.业务拓展，团队合作。,贵阳云岩区老凯俚酸汤鱼(省府店)1001
衡阳市王中王家居集团有限公司,总经理,30-60K,大专,"1.根据集团战略规划模式，对电商平台O2O的高度认知，高水平的商场高度视眼，为公司发展把握时代方向及超强的执行能力，以拿商场经营结果为目标。2.负责商场平台管理工作，负责公司企业文化建设、组织体系建立，熟悉家居公司薪酬体系、人力资源行政管理、营销管理、电商管理、财税管理；3.执行、落实集团的总体战略目标和年度计划，集团公司的各项规章制度和管理流程，根据公司的战略发展要求，制度公司年度工作计划并督导落实；4.建立、维护当地公共关系，与辖区相关机构保持良好的关系；5..负责家居管理服务和招商投标和家居管理服务的监督考核业务；6.负责团队建设，完善内部培训体系。岗位要求:1、年龄要求在25-40岁之间，具有较强的学习能力,领悟能力。2、具有良好的沟通能力以及讲解分享能力。3、热爱生活、有较强的服务意识和心理承受能力。4、接受网络意识、互联网思维、追求高收入追求高品质生活。5、人脉资源或社会资源尚可。薪资待遇30K-60K+期权转股份1.公司统一购买5险，员工旅游，不定期举行团建活动。2.定期举行生日会，节日发放物资和礼品。3.加班补贴，全勤奖励。4.免费提供午餐/住宿加分项有以下行业经验：装修装饰·广告营销·O2O",衡阳蒸湘区王中王家居广场三楼办公区
鸥铂国际教育控股（辽宁）集团有限公司,教育项目合作伙伴,50-80K,大专,集团旗下上百种教育项目，招募的你最好是从事教育学、学前教育、音乐教育、体育教育、美术教育、英语教育、小学教育、特殊教育、成人教育等，我们有来自全球的各种国际教育项目，我们有场地，你加入一起运营一个项目或多个项目，我们有平台，我们有完整项目落地方案，你有经验、经历，愿意走合伙人模式，一起赚钱，欢迎加入,大连金州区淘乐馆159-301
厦门市房加一信息科技有限公司,创业合伙人,50-80K·13薪,大专,1.有开公司或管理公司经验优先2.有房产、装修、家政、家居等经验优先3.有互联网运营或对互联网感兴趣优先4.了解厦门或在厦门居住5年以上优先5.能提供人力、物力、财力扩展优先6.能提供上下互联网产业链优先7.具有一定的社会阅历、人脉、资源等优先,厦门湖里区房加一房产直卖网大唐C栋1916单元
四平市潮车时代网络科技有限公司,合伙人,40-70K,大专,具备单独区域的独立经营能力想共同发展创业的年轻人加分项有以下行业经验：4S店/后市场·其他服务业,四平铁西区鑫鼎世家北门127门店
