公司名称,职位名称,薪资,学历要求,职位描述,
深圳市思立普科技有限公司,前端开发工程师,13-18K,大专,"#### 职位描述：1. 支撑我司跨境电商业务，负责shopify电商页面开发，不断提高消费者购物体验，提升开发效率和前端性能。2. 负责公司管理后台前web端页面的开发，根据公司及客户需求完成项目。3. 负责公司APP内嵌H5页面的开发，根据需求完成开发任务。#### 职位要求： 1. 专科以上计算机相关专业学历，3年以上前端开发经验2. 熟练使用各种前端技术，包括HTML/CSS/JavaScript(ES6)等。3. 具备跨终端的前端开发能力(Mobile+PC）,鼓励在Native和Web技术融合上的探索。4. 熟练掌握一门主流前端框架(VUE,React)对前端工程化与模块化开发有一定了解，并有实践经验（如Webpack/Babel/AMD/CMD等)。5. 熟练使用UI框架(element,iview或AntDesign)6. 有Liquid模板语言，或开发过shopify主题页面开发经验的优先7. 具备优秀的团队协作精神，能利用自身技术能力提升团队整体研发效率，提高团队影响力。8. 对前端技术有持续的热情，个性乐观开朗，逻辑性强，善于和各种背景的人合作。9. 乐于分享，善于总结归纳沉淀，并能将好的经验在团队内进行分享。#### 技术工作:独立创新：对电商页面有自己的理解，根据公司需求完成电商前端及控制页面的搭建;方案定制：在理解产品业务的基础上，提升产品的用户体验和业务价值，技术驱动业务的发展；体验优化：对具体的产品进行性能优化，实现极致的页面加载、执行和渲染时间；团队协作：关注前端前沿技术研究，通过新技术服务团队和业务。",深圳宝安区福永智荟园A2栋403a
广州市汇佑友信息科技有限公司,前端开发工程师,11-15K,大专,1.3年以上经验，大专学历；2.熟悉HTML5、CSS3、ES6、JavaScript、Node.js等前端技术；3.熟练使用Vue、React前端框架并且有过实际项目经验；4.良好的沟通能力和团队协作精神。,广州黄埔区七喜大厦201
浙江义库信息技术有限公司,前端开发工程师,6-11K,大专,工作职责：1、承担WEB前端核心模块的设计、开发工作，对代码质量及进度负责；2、对公司的产品提出用户界面和用户体验方面的合理建议。3、熟练使用Angular，Vue等前端框架4、熟悉HTML5、CSS3的新特性，了解不同浏览器之间的差异，制作出的页面能够有很好的兼容性。,金华义乌市义乌科技创业园科技大楼B-10-3
深圳晴润科技有限公司,前端开发工程师,11-16K,大专,1. 负责CMDB 产品/运维自动化产品按客户需求进行二次开发2. 负责大屏展示按客户需求进行二次开发3. 负责功能编码实现与上线4. 参与团队间代码评审、缺陷分析与处理任职资格1. 2年以上工作经历，本科及以上学历2. 熟练运用 HTML、CSS、JavaScript 构建扩展性强的 web 应用程序，熟悉 TypeScript 更佳；3. 能够熟练运用至少一款以下框架：React、Angular、Vue，精通 React 优先；4. 具备丰富的前端行业知识，了解前端开源社区的前沿信息，积极向团队分享、推广新技术的使用；5. 良好的英文读写能力，熟练使用 Google 搜索英文技术资料解决问题；6. 熟练使用 Markdown 书写技术文档，具备严谨清晰的文档编写能力；7. 熟悉Shell脚本语言或至少一门后台编程语言；8. 有以下额外经历更佳：- 熟悉单元测试、端到端测试；- 在 GitHub 有自己原创的开源项目；- 在知乎、GitHub、自己的个人网站等发表原创的技术文章；- 熟悉 Node.js。,广州黄埔区云升科学园黄埔区科学城云升科学园B2座
广东卡百利新材料科技有限公司,前端开发工程师,10-15K,大专,【岗位职责】1. 参与行业知名客户数字化创新项目的开发设计并编写web前端架构及应用；2. 在leader的带领下，依据产品需求完成高质量的Web前端开发和维护；3. 在理解业务的基础上，结合前端技术建立或优化Web的交互方式；4. 对具体的业务进行前端性能优化。【任职资格】1、大专以上学历，计算机、通信相关专业；2、两年以上前端工作经验，能够熟练使用css3，h5开发高度还原的web界面；3、熟悉移动端开发；4、有多端开发经验，熟悉移动端开发，熟悉/精通 uni-app；5、有vue实战经验，熟悉JS，ant-design，Element 等开发框架，能熟练使用ES6；6、熟悉团队开发流程，熟练使用git工具进行代码管理。,广州海珠区海珠同创汇南一街5栋202
"
翺翔建筑设计科技开发
",前端开发工程师,15-25K,大专,"岗位职责:1.	负责web前端开发和设计工作及功能实现。2.	模块化前端组件，建立前端开发架构，提高前端开发的效率。3.	对产品易用性和界面技术进行优化，研究并改善用户体验。4.	与后端开发人员对接，完成整个产品的项目开发，确保代码有效对接。职位要求：1.	大专以上学历，计算机相关专业，3年以上web前端开发相关工作经验。2.	熟悉 Web 设计和编码，精通 HTML5、CSS3、Javascript 等前端技术。3.	熟练掌握Vue现代前端框架，了解Vue最新版本的特性和范式。4.	有3D开发经验优先考虑。5.	具备较好的沟通协调能力和良好的团队合作精神。6.	性格严谨、诚信务实、具有自律性。7.	拥有更多经验可考虑为高级前端开发工程师 。",深圳福田区卓越·世纪中心深圳市福田区福田街道卓越世纪中心4号楼
北京航天通联科技有限公司,前端开发工程师,8-13K,大专,工作职责:1、与后端协作完成应用开发，满足产品发布的质量要求;2、开发前端标准化组件，提升应用开发效率;3、按需求完成界面开发迭代，模块化功能开发。任职资格:1、计算机相关专业，本科及以上学历;2、精通前端主流技术栈（Vue、React 等），熟悉 ES6/7 规范；3、熟悉前端主流的UI框架（如 vant、uni-app、taro、element-ui 等）；4、熟悉前端工程化与模块化开发，有构建工具实践和调优经验(如 Gulp、Webpack、Vite 等)；5、对后端技术有一定了解，熟悉网络协议和 Node.js 开发；6、对微前端框架如乾坤、SingleSPA 等有一定的了解。7、有电力软件项目经验优先。,福州鼓楼区宜发大厦五四路111号
博彦科技承德有限公司,前端开发工程师,15-17K,大专,工作职责:-爱企查企业服务产品的Web端功能设计、开发和维护；-爱企查企业服务产品的易用性改进和Web界面技术优化；-与产品团队充分沟通，快速理解、消化各方需求，并落实为具体的开发工作；-关注业界前端技术，对用户体验、交互操作流程有一定理解。职位要求:-计算机科学或相关专业毕业，2年以上工作经验；-精通HTML/XHTML、CSS，JavaScript等前端开发技术，对js异步编程有较深刻理解；-熟悉W3C标准，对表现与数据分离、HTML语义化等有深刻理解 ；-熟悉页面架构和布局，熟练使用less、stylus等css预编译框架；-熟练使用React/Vue/Svelte中的至少一种；-熟练使用webpack、rollup、vite等进行开发以及项目构建；-熟练掌握盒模型、常用布局以及浏览器和移动设备兼容性；-具有一定的软件工程意识，对数据结构和算法设计有充分理解；-具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力；-了解版本管理，有git使用经验；-有前端性能优化经验。,北京朝阳区电通创意广场12号楼1
北京神州视翰科技有限公司,前端开发工程师,8-12K,大专,工作职责：1、负责开发与维护公司的前端相关产品；2、编写结构清晰、可维护性强、高质量、高效率的代码；3、工作热情，保持良好沟通，能快速理解，并落实为具体的开发工作；4、优化产品前端整体框架设计、基础组件开发，推进前端工程化和自动化。任职要求：1、计算机相关专业毕业，大专及以上学历，有2年及以上开发工作经验；2、精通H5/C3，精通Typescript、ES6+、原生js等语言；3、熟练掌握主流前端框架，包括但不限于Angular2+、Vue、React；4、良好的沟通能力、团队合作精神以及组织协调能力。,沈阳铁西区荣科科技荣科科技
信雅达科技股份有限公司,前端开发工程师,12-15K,大专,"1、大专及以上学历，3年及以上前端开发经验；2、精通 Vue框架，Javascript 语言与 HTML5,CSS3等技术，能快熟还原设计稿；3、精通模块化、前端编译和构建工具，熟练使用vue框架，并理解其设计原理；4、深刻理解Web标准，对可用性、稳定性、可访问性等相关知识有实际的了解和实践经验，具有模块化编程思想、良好的代码书写习惯。",珠海香洲区中国工商银行软件开发中心2号
武汉讯锡云科技有限公司,前端开发工程师,11-18K,大专,工作年限：3年以上 专业：计算机（含软件工程）相关或者财务相关专业优先。 大专及以上学历 1. 熟练掌握Vue框架以及Vue生态圈（vue-route、vue-cli等），有SPA单页应用、组件化开发项目经验； 2. 扎实的JavaScript、HTML、CSS基础； 能编写高可用的通用前端组件； 3. 熟练掌握ElementUI等主流UI库； 4. 熟悉echarts、jQuery等常用前端库；熟悉webpack、less等构建工具； 5. 对前端的浏览器兼容性有一定经验。 6. 能承受一定的工作压力，有责任心和上进心，能通过持续学习完善自身； 7. 较强的沟通能力及团队协作能力，容易与人相处；岗位职责1、主要从事应用软件的Web前端开发，参与系统功能开发； 2、根据需求文档和设计图完成高保真页面； 3、根据项目性能测试情况分析性能瓶颈，优化前端性能； 4、分享开发技巧，共同提升开发能力。,南京雨花台区云密城F栋6F
北京加菲智能科技有限公司,前端开发工程师,8-11K,大专,前端招聘:1、有面向对象的设计思想和良好的编码风格，熟悉MVC、MVVM等主流前端框架并有使用经验；2、深入理解Vue框架，精通vue.js技术栈，如vue、vue-router、vuex、axios等全家桶；3、精通前端开发技术原理，如HTML5、JS、CSS、ES6、echarts等相关技术，对模块化开发有一定经验；4、有良好的代码编写风格和编程习惯，能够合理利用模块化对代码进行优化，提炼公共组件；5、具备需求分析和设计能力，以及较强的逻辑分析和独立解决问题的能力；6、有国家电网相关系统开发经验者优先。经验要求：3年以上,济南市中区山东数字产业大厦00
上海尼好系统集成有限公司,前端开发工程师,10-15K,大专,1. 2+工作经验，专科及以上学历；2. 精通JS/ES6，精通 React，在实际项目中，至少使用过一种流行的 UI 组件库；3. 熟练掌握 HTML5、CSS3、ES6 等前端开发技术；4. 具有至少 1～2 个中大型前端工程开发实践经验；5. 动手能力强，沟通良好，6. 能够独立完成前端开发工作   薪资可谈，早九晚六,上海青浦区E通世界商务园-德邦双子楼B座507
杭州壹凌贰四互联网科技有限公司,前端开发工程师,10-15K,大专,岗位职责：1. 负责传统 web 页面，基于 vue 的页面开发；2. 负责页面的各种浏览器(IE9+)兼容性支持，移动端支持；3. 参与产品需求讨论，进行原型、交互设计；4. 负责上线、维护前端服务；5. 负责产品设计和前端交互。任职要求： 1、精通JavaScript、HTML、CSS等开发前端语言，熟悉ES6语法，具备扎实的前端基础，对前端工程化与模块化开发有一定经验，有中大型网站或应用开发经验；2、熟悉HTTP/HTTPS协议，熟悉Web前后端运行流程，对表现与数据分离深刻理解；3、精通Vue等至少一种开发框架；4、熟悉一门非前端开发语言（如NodeJs/Java/Python等），并有项目经验，熟练Node有加分;5、具备优秀的模块设计文档编写能力；6、熟悉敏捷开发、具备良好的软件工程素养；,杭州建德市明珠商务大厦8F
上海集优财务咨询有限公司,前端开发工程师,10-11K,大专,职位描述1、负责PC端和H5的页面开发；2、根据产品原型实现web应用；3、优化应用，解决兼容适配问题；任职要求：1、熟练掌握DIV、CSS、HTML5、CSS3、JavaScript等Web前端开发技术，兼容多种浏览器的前端页面代码；2、熟悉HTML5+CSS3的新功能；3、熟练Ajax、DOM、JSON等相关技术；4、熟悉掌握Vue，antdesign-vue5、掌握npm、nodejs等工具的使用，了解前端工作流。6、有良好的沟通与表达能力、思路清晰，较强的动手能力与逻辑分析能力7、有求知欲和责任心。,上海嘉定区中信泰富又一城4期901室
北方智企（山东）科技创新有限公司,前端开发工程师,11-21K,大专,1. 扎实的EcmaScript6基础，对代码质量、设计模式有一定的理解；2. 熟悉VueJS，熟悉ElementUI，ViewUI等框架的使用，具备抽象并编写复杂组件的能力，对Vue的插件、组件、指令机制有较深入的理解；3. 深入理解前端模块化机制，理解其构建、按需打包及分发过程；4. 具有数据可视化开发经验或大屏可视化经验者、具有Web绘图开发经验者优先；5. 良好的沟通能力，良好的英文文档阅读能力，可接受短期加班,北京东城区洲际大厦B座c座
四川青霆科技有限公司,前端开发工程师,6-11K,大专,"（1）薪资范围5K-20K，公司有完善的薪资和岗位级别晋升体系。（1）计算机专业学历专科及以上，至少2年以上相关工作经验； （2）熟练HTML/JavaScript/CSS等前端技术，熟悉HTML5、CSS3新增属性； （3）熟练使用JavaScript、ES6。了解TypeSeript,ES2019、ES2020新增属性。 （4）熟悉各类JS框架，如React、AngularJS、Vus.js等；（5）有小程序、HybirdApp开发经验，熟悉uniapp框架； （6）对用户体验、交互操作流程及用户需求有深入理解； （7）至少熟悉一门后台语言（如java/Python/Node.js），并有实践经验者优先； （8）对CSS/JavaScript性能优化、解决多浏览器兼容性问题有丰富经验者优先； （9）拥有极强的团队协作精神、优秀的学习能力与创新能力。",宜宾叙州区四川青霆科技有限公司宜宾市叙州区金沙江南路东段新政务服务中心三楼E区青霆科技。
广州青为科技创新有限公司,前端开发工程师,9-12K,大专,"岗位职责：1、完成公司中后台项目的前端开发，包括PC端，移动设备浏览器端，移动设备APP端；2、与后端开发一起，确定接口协议；3、独立完成接口文档的编写并组织评审；4、深入解析代码, 提升代码执行效率, 加强代码兼容性；5、对用户交互有深刻理解，能帮助产品优化交互体验。任职要求：1、计算机相关专业大专及以上学历，2年以上前端开发经验；2、有亚马逊、独立站、ERP、WMS等相关系统经验者优先考虑；3、有独立完成app、小程序，响应式网站前端经验者以及开发过后端经验者优先考虑；4、熟悉VUE、ES6、HTML5、CSS3、JavaScript、AJAX等前端技术；熟悉element-ui、mint-ui、uniapp等前端框架；5、有使用响应式设计开发移动端web应用的经验，有适配IOS和Android主流浏览器的实践经验，熟练处理PC和移动端兼容问题；6、有良好的沟通能力，有很强的团队合作精神，有强烈的责任心和创新意识。",广州白云区上胜创意园5栋/3层/301
数语（重庆）科技有限公司,前端开发工程师,7-12K,大专,"岗位职责：1 负责低代码平台前端的研发工作2 负责和UI协调页面版式，和后台开发人员协调数据交互3 负责优化前端功能和页面，提升产品用户体验4 负责前端整体项目设计和规划岗位要求：1.专科以上学历;计算机相关专业;2. 有3年及以上工作经验；3. 熟悉html5/css3，VUE，uni-app框架4.熟悉JavaScript，基础知识必须扎实5.熟悉vue相关技术、有过低代码平台项目经验者优先6. 有良好的编码习惯，热爱技术，对待工作认真，负责7.有良好的沟通能力，逻辑思维能力,团队协作能力和抗压能力",重庆渝北区麒麟座C901
"
玑脉数据
",前端开发工程师,15-20K,大专,"工作职责：1. 主要负责Web前端、H5的设计和研发工作，优化代码并保持在各浏览器下良好的兼容性；2. 与UI、后端技术配合，完成前端界面的制作工作与功能的镶嵌和调试工作；3. 负责使用JavaScript封装良好的前端交互组件，以优化前端性能；4. 负责根据用户群中反馈设计相应解决方案和实施；岗位要求：1. 专科及以上学历，计算机相关专业；2. 至少2年及以上前端开发经验；3. 熟练掌握HTML,HTML5,CSS,CSS3,JavaScript, ES6等；4. 熟练使用至少一种JS框架，例如AngularJS, Vue等，能独立开发常用组件；6. 熟练使用浏览器调试工具, 网络及性能分析工具，如PostMan，Charles等；7. 熟练使用SVN以及GIT管理工具；8. 深刻理解web开发流程(设计、开发和部署)；9. 具备良好的服务意识、责任心、较强的学习能力、优秀的团队沟通与协作能力；10. 热爱技术并具有新技术的钻研精神；",上海杨浦区INNO创智-A栋1024室
德汇融资租赁有限公司,前端开发工程师,9-14K,大专,"岗位职责:1、负责公司移动端、公众号、小程序及PC端WEB项目的前端开发。2、与产品经理、UI和后端开发人员共同完成产品开发;3、负责前端框架的设计、开发任职要求:1、2年以上互联网、移动互联网前端开发经验;2、基本功扎实，熟悉HTML、CSS,对WEB语义化、用户体验和前端UI规范熟悉。3、熟悉原生JavaScript、jquery, 至少熟练掌握-种前端框架4、熟悉vue面向对象开发，能快速实现页面，有优化前端页面经验",上海浦东新区上海德汇置业投资有限公司罗山路2255弄汤臣湖庭会所1号楼201
陕西天璇信息科技有限公司,前端开发工程师,10-15K,大专,工作职责：1、负责前端研发工作，工作经验3年以上；2、通过运用各种前端技术手段，不断提高用户体验，优化性能和解决兼容性等问题；与后端开发人员共同完成项目开发；3、从视觉和易用性角度，为产品设计提供改进建议，为页面提供持续优化方案；4、负责前端框架的封装和组件的编写；任职要求：1、精通JS/JQuery框架、HTML5、CSS/CSS3前端开发技术，熟悉主流移动浏览器的技术特点问题2、精通模块化、前端编译和构建工具，熟练运用主流的移动端JS库和开发框架Vue.js，并深入理解其设计原理3、精通elementUI、Vue.js、Angularjs，uniapp并且有相关项目经验。,西安雁塔区旺座曲江E座2702
莆田市申禾科技有限公司,前端开发工程师,9-14K·13薪,大专,"一、岗位职责：1、参与公司前端的架构设计，前端项目的开发和维护，常用web组件开发；2、与UI设计师积极合作，完成页面的前端实现；3、与后端开发工程师积极合作，完成前端与后端的整合；4、对产品经理、设计师提出的需求给出技术评估和解决方案。5、Wordpress模版的开发二、岗位要求：1、计算机相关专业大专以上学历，3年以上前端工作经验2、熟练掌握VUE、uni-APP、HTML、XHTML、CSS，熟悉页面架构及布局，对web标准和标签语义有深入理解，能根据设计图熟练编写符合W3C标准的页面，能进行响应式开发；3、熟练掌握javascript，并熟悉ajax、json，有jQuery、vuejs、bootstrap等框架的使用经验；4、熟悉各种跨浏览器兼容技术，熟悉使用调试工具调试和修改错误；5、积极上进，善于学习，良好的沟通能力，较强的责任心及团队合作精神；较强的团队协作能力与沟通能力，有独立解决问题的能力；6、有使用过vue,bootstrap 开发过商城的优先7、熟悉Vue服务端渲染，SEO优化",莆田荔城区凯天国际35F
福建捷宇电脑科技有限公司,前端开发工程师,8-12K·13薪,大专,"【岗位职责】1、负责前端开发，各类交互界面和效果的实现；2、能独立完成分配的任务、自测、联调；3、能接受分配nodejs后端开发工作。【任职要求】1、2年以上前端开发经验；2、熟练掌握html、css、JavaScript、TypeScript等语言；3、熟悉Vue框架，对生命周期，计算属性，Vue指令，组件通信熟练掌握；4、掌握 nodejs 事件机制，常见模块的使用，熟悉 API 调用；5、熟悉Webpack构建工具；6、熟悉Express或Eggjs框架的优先；7、熟悉MySQL, Redis等相关数据库使用的优先；8、熟练使用linux、熟悉 Linux Shell 编程的优先。【福利待遇】1.入职缴纳五险一金（医疗、工伤、养老、失业、生育、住房公积金）；2.享受国家法定节假日、带薪年假、超长春节假期；3.年终奖13-16薪、满勤奖、司龄奖、加班补贴、加班餐、结婚礼金、过节福利、开门红包等；4.免费入职体检；5.上班时间：8：30-12：00， 13：30-18：00；6.丰富的企业文化活动：部门团建、聚餐；年会、博饼等节日活动；7.系统培训计划：公司大牛全方位辅导，一对一老带新，在实践项目中学习成长；入职培训；定期产品培训等；8.优质办公环境，两层办公区域高达3000平以上，公司配备茶水间、冰箱、微波炉、加班餐、加班零食，营造良好工作氛围。【公司信息】1.公司官网：http://www.fjjieyu.com/2.简历直投：*****3.总部办公地址：福州市闽侯县海西高新技术产业园创新园 二期20号楼19层（临近董宇师大（地铁站）/师大学生公寓（公交站））",福州闽侯县海西高新技术产业园创新园20栋19层
上海问饰网络科技有限公司,前端开发工程师,8-13K,大专,"工作内容：1.熟练 vue 框架并有线上项目经验；2.有至少一种UI框架使用经验(例如bootstrap,layui，elmentUI等)；3. 熟悉 react native优先考虑；4.团队意识强，有一定抗压能力。岗位要求：1.大学专科及以上计算机相关专业优先； 2.1年以上的前端开发经验；3.较强的领悟能力和沟通能力，有较好的团队合作精神；地址：上海市普陀区中山北路3000号长城大厦2503-2504（3/4/11号线曹杨路地铁站 交通便利）我们是一支从事软件开发的团队，团队成员有活力，富有创造力，工作氛围轻松，期待你的加入！",上海普陀区长城大厦2503-2504
重庆璐付科技有限公司,前端开发工程师,8-13K,大专,"【岗位职责】1、负责公司web产品前端开发；2、高度还原UI设计稿与交互实现，处理各种浏览器兼容问题；3、根据工作安排高效、高质地完成代码编写，确保符合前端代码规范4、日常BUG修复，性能调优等工作【职位要求】1、熟练掌握 html5/css3(scss/sass/less)/javascrip (es6) ;2、掌握基础算法，有web性能分析与调优能力；3、熟悉使用vue 相关工具和技术栈，并掌握其核心原理；（vue,vue-router,vuex,axios),vue-cli脚手架，具备相应的SPA开发经验；4、熟练自定义组件封装；5、能熟练使用一套pc端，移动端第三方UI库（如pc端：element-ui,移动端：vant)；6、熟悉 mobile web 开发的注意事项，了解跨设备与浏览器的兼容问题；7、具有Echarts,高德地图等库的使用经验等；8、加分项：有前端sso单点登录实际经验，有过qiankun或mircoApp微前端框架使用经验，了解混合开发（如Electron),uni-app有过vue-element-admin或若依vue实际开发经验优先。薪资待遇：基本薪资（底薪+绩效）+项目奖，综合收入10k-20k/月左右。",重庆南岸区国汇中心凯宾国际凯宾国际525208
武汉君鑫科技有限公司,前端开发工程师,15-16K,大专,"福利待遇：转正员工一周有3天时间安排在家办公团建不定期举行节日福利双份工作职责1.负责项目后端和前端开发工作，包括分析设计，代码开发和调试，单元测试等。2.负责服务性能优化，数据库性能优化。3.负责日常维护系统稳定、处理BUG等相关要求任职资格1.3年以上开发工作经验。2.熟练使用Node.js，3.熟悉TypeScript, ES6特性，熟悉NestJs更佳。4.具有关系型数据库和NoSQL经验， 如SQL Server, Oracle, MongoDB等。5.具有Resful API接口开发经验。6.具有一个或多个前端框架ReactJs, AngularJs, Vue, Bootstrap, JQuery经验。7.熟练使用Git, JIRA工具。8.良好的英语能力（具备口语能力更佳）9.具有良好的的分析解决问题的能力和理解能力10.能够承受工作压力11.具有良好的团队合作能力",成都武侯区天府软件园C区11栋6楼
广东世寰智能科技有限公司,前端开发工程师,8-13K,大专,1、负责Web前端开发工作；2、基于Openlayers、Cesium、Three.js等引擎，开发三维WebGIS系统；3、与后端开发工程师协作，完成功能需求的开发；4、负责前端页面维护，解决浏览器兼容、安全漏洞等问题；5、持续优化前端体验和页面响应速度；6、完成相应的开发文档的编写。任职资格：1、计算机或相关专业大专以上学历，3年以上前端相关开发经验；2、精通HTML、CSS、JavaScript、VUE等前端技术，具有丰富的页面性能、浏览器兼容性实践经验；3、熟悉Ajax以及Json、Xml等数据交换格式； 熟悉移动端H5技术；4、熟悉TCP/IP、HTTP/HTTPS等协议；5、熟悉前端自动化工具 gulp+E1、webpack、rollup等；6、对标准化、可用性、页面性能有深入了解，有丰富的多浏览器兼容经验；7、熟练掌握es6+语言特性、less基础知识；8、熟悉React、Antd优先；兼熟Java后端开发语言者优先；9、熟悉Openlayers、Cesium、Three.js等3D引擎开发者优先；10、熟悉影像数据、矢量数据、高程数据的处理者优先。公司福利：1、周末双休，5天7.5小时工作制。2、按法定节假日放假，法定节日享受带薪。3、公司为每位正式员工购买五险一金。4、每年不定期举行文娱活动及旅游，不定期生日轰趴。5、日常组织丰富多彩的业余体育等活动。6、获得相关职称的员工可享受公司职称津贴、补助；7、传统节日发放过节费或礼品；8、年底发放丰厚的项目奖金。,佛山南海区金谷·智创产业社区A座505
广州佛朗斯股份有限公司,前端开发工程师,8-12K·13薪,大专,岗位职责：? 根据产品需求，负责需求分析设计及开发工作；? 负责Web端和移动端（H5和微信小程序）的前端程序实现；? 与产品、设计、测试、后端开发人员保持良好沟通，保持产品质量和开发进度；? 负责项目的前端优化和用户体验优化工作；? 遵守公司的代码规范。岗位要求：业务技能：? 专科及以上学历，3年以上实际前端开发经验；? 熟练使用VUE/Vuex，熟悉React/Redux、Node.js、Gulp、WebPack 等前端构建工具；? 熟练使用主流的前端控件库，如AntDv，ElementUI等，有实际项目开发经验；? 熟悉浏览器兼容性，web优化技巧；? 能够独立完成基于vue3+AntDv的项目详细的前端开发设计及实现；? 对PHP、MySQL有一定了解的优先。,广州番禺区广州佛朗斯股份有限公司总部大楼亚运大道
"
德科信息
",前端开发工程师,10-14K,大专,"1、参与HRX售后项目需求前端研发； 2、参与前端各类公用工具的稳定可靠运行； 3、Web前沿技术研究和新技术调研。1、3年以上系统前端开发工作经验； 2、精通JavaScript、Ajax、xml/json、等Web开发技术； 3、精通HTML、html5、CSS、LESS、SASS等网页制作技术，熟悉页面架构和响应式布局；4、了解js的mvvm设计模式及模板引擎； 5、熟悉noedejs，及前端主流构建工具,尤其是webpark,rollup技能者优先考虑；6、了解bootstrap、jqueryUI、antdesign等各种前端主流UI库； 7、熟悉VUE js开发经验值优先考虑；有较强的学习能力和攻关能力有较强的团队协作能力和沟通能力熟悉人事领域系统开发优先，从事过HRX项目开发的优先。",南京雨花台区云密城F栋1
同程网络科技股份有限公司,前端开发工程师,12-20K·14薪,大专,岗位职责：1、负责事业群C端和中后台系统的前端相关需求沟通、方案设计、编码开发。2、参与前端架构规划、性能优化，工程质量保障及效率工具的建设。3、根据业务需求设计系统技术方案，完成业务逻辑变现，提升产品的用户体验，技术驱动业务的发展。4、参与团队内技术交流和分享，指导新人成长。5、关注前端前沿技术研究，通过新技术服务团队和业务。岗位要求：1、3 年以上前端开发经验，有前端架构设计经验。2、扎实的前端基础（JavaScript/CSS/HTML/ESNext），丰富的前端主流框架（React/Vue）实战经验，良好的代码风格。3、对前端工程化、模块化有深入的理解和实战，熟悉 webpack、rollup 等构建打包工具。4、对用户体验有追求，有性能优化经验，并具有较强的问题解决能力。5、熟悉 Node.js并至少使用过一种主流框架（Express/Koa/Egg等）。6、较好的沟通协作能力，较强的主动性和推动能力。具备以下条件者优先：1、丰富的移动端（H5/微信小程序/跨端框架）开发实践，主导过较复杂的移动端系统开发。2、极强的抽象、共享意识，在开源社区有优质贡献。3、热爱编程，热爱技术，广泛涉猎，在跨端项目中有卓越贡献。,苏州吴中区同程旅行大厦6层
江苏祥晏科技集团有限公司,前端开发工程师,10-14K,大专,"岗位职责：1、根据产品原型开发web前端和移动端页面，与后台开发人员完成前后端功能开发；2、熟练使用组件化、模块化开发方式；3、根据效果图实现前端展示效果和交互功能；4、分析和解决前端遇到的各种技术、兼容问题；5、维护及优化产品前端页面性能。任职要求:1、全日制专科及以上学历，3年以上前端开发经验，对互联网产品有着良好的感觉和兴趣，对交互设计和用户体验有较为深入的了解；2、前端基础扎实，熟练各种掌握web前端技术如：HTML/XHTML, CSS，HTML5和CSS3；3、掌握一种版本控制工具如Git、SVN，熟悉自动化构建工具webpack，熟悉gulp或grunt；4、熟悉并使用过Vue2.0开发过正式项目或产品，有H5、小程序或RN等实际项目经验；5、具备良好的沟通能力、责任心、主动性和团队合作意识，善于思考，积极融入团队；6、有React Native/H5 Hybriddejs项目开发经验优先；7、有电商、餐饮大型项目经验优先。",南京江宁区南京有志大厦A座19楼
上海毅成软件科技有限公司,前端开发工程师,8-12K,大专,公司待遇：五险、定期团建、节日福利1.至少一年以上web 前端实际开发经验2.熟悉es6、h5、c3 、js、echarts等前端开发技术3.熟练使用至少一种css 预处理，ex:less  scss4.熟练使用ajax、fetch、axios 等实现数据请求完成前后台交互的能力，并可以使用mock 来模拟数据5.了解并使用过前端常用ui 框架 Element、Vant、iview、AntD等6.使用过vue全家桶(优先考虑)或react全家桶中一种，熟练使用vuex、redux进行状态管理，熟悉模块化，组件化开发思想，能够独立完成组件插件的开发，并有实际项目开发经验7.熟悉git,盐城亭湖区Harmony智联科技创新园3号楼6层南
南京小裂变网络科技有限公司,前端开发工程师,8-13K·13薪,大专,【求职必读】【自研产品】小裂变是一家专注裂变增长的营销服务商SaaS工具+运营服务+培训咨询，已帮助华为、故宫、可口可乐、京东、新东方、网易等数万家公司获客9500w+团队每一位伙伴都忠于使命、践行客户第一、奋斗精神的价值观公司和你之间是互相成就的关系，我们期待公司发展过程中有你的一份功劳，更乐意看到这个过程中你个人能力和收入的增长希望你：有强烈的自驱力、渴望取得成长、为人正直诚实可靠、 善于挑战、积极乐观不希望你：仅仅是想找一份工作， 咸鱼心态就不要投递我们公司【岗位职责】1.  主要负责公司SaaS后台产品、网页、移动端的开发工作 2.  参与项目的技术开发，参与讨论用户体验和细化需求3.  持续的优化前端体验和页面响应速度，并保证兼容性和执行效率4.  能够独立完成详细设计及编码、进行代码审查【岗位要求】1.  2-3年前端开发经验、能熟练使用vue框架、了解antd、vant等常用UI框架2.  精通HTML5、JavaScript、CSS3等Web开发技术3.  熟悉微信小程序开发工具及框架4.  具有审美和设计能力，对产品有自己的见解，追求完美，注重细节5.  熟练掌握常见前端构建工具如webpack和搭建前端工程工作流6.  具有良好的代码功底，css基础知识过硬，能高保真还原视觉设计稿7.  有良好的沟通能力和团队合作能力，善于沟通，工作自主驱动，具备良好的问题定位分析能力 【加分项】 1. 我们期望的技术栈是vue2. 具有组件化思想，使用vuet封装过前端组件3. 熟练掌握微信开发平台，1-3年以上针对微信接口编程经验4. 有成熟小程序、微信公众号、企业微信、H5页面开发经验者,南京栖霞区紫东国际创意园东区B5栋A座二楼A202室
