职位id,关系,薪资
1146,,10-14K
1147,,10-15K
1148,,10-15K·13薪
1149,,12-18K
1150,,12-16K
1151,,6-11K
1152,,10-15K·13薪
1153,,10-15K
1154,,8-12K
1155,,9-12K
1156,,10-13K·13薪
1157,,10-15K
1158,,10-13K
1159,,12-16K
1160,,8-12K·14薪
1161,,15-25K
1162,,10-15K
1163,,12-24K
1164,,7-12K
1165,,13-18K·13薪
1166,,9-14K·13薪
1167,,16-20K
1168,,10-15K
1169,,11-16K
1170,,10-15K·13薪
1171,,13-25K
1172,,10-15K
1173,,10-15K
1174,,10-15K
1175,,12-20K
1176,,11-18K·13薪
1177,,8-13K
1178,,12-15K
1179,,11-15K
1180,,10-14K
1181,,8-13K
1182,,12-20K
1183,,10-15K
1184,,10-15K·13薪
1185,,12-20K
1186,,8-13K
1187,,15-20K
1188,,17-18K
1189,,9-11K·13薪
1190,,12-14K
1191,,10-15K
1192,,11-18K
1193,,11-16K
1194,,13-18K
1195,,11-15K
1196,,6-11K
1197,,11-16K
1198,,10-15K
1199,,15-25K
1200,,8-13K
1201,,15-17K
1202,,8-12K
1203,,12-15K
1204,,11-18K
1205,,8-11K
1206,,10-15K
1207,,10-15K
1208,,10-11K
1209,,11-21K
1210,,6-11K
1211,,9-12K
1212,,7-12K
1213,,15-20K
1214,,9-14K
1215,,10-15K
1216,,9-14K·13薪
1217,,8-12K·13薪
1218,,8-13K
1219,,8-13K
1220,,15-16K
1221,,8-13K
1222,,8-12K·13薪
1223,,10-14K
1224,,12-20K·14薪
1225,,10-14K
1226,,8-12K
1227,,8-13K·13薪
1228,,10-15K
1229,,6-11K
1230,,7-12K·13薪
1231,,6-11K
1232,,8-12K
1233,,9-14K
1234,,7-12K
1235,,9-12K·13薪
1236,,8-13K
1237,,9-11K
1238,,6-11K
1239,,8-13K
1240,,8-12K
1241,,10-15K
1242,,7-12K·13薪
1243,,8-13K
1244,,9-11K
1245,,10-11K
1246,,12-24K
1247,,7-12K
1248,,17-20K
1249,,8-13K
1250,,15-22K
1251,,9-14K
1252,,8-12K
1253,,8-11K
1254,,12-16K
1255,,18-35K·14薪
